Statistik_Code;Statistik_Label;Zeit_Code;Zeit_Label;Zeit;1_Merkmal_Code;1_Merkmal_Label;1_Auspraegung_Code;1_Auspraegung_Label;2_Merkmal_Code;2_Merkmal_Label;2_Auspraegung_Code;2_Auspraegung_Label;3_Merkmal_Code;3_Merkmal_Label;3_Auspraegung_Code;3_Auspraegung_Label;4_Merkmal_Code;4_Merkmal_Label;4_Auspraegung_Code;4_Auspraegung_Label;HES002__Schadholzeinschlag__1000_cbm
41261;Holzeinschlagsstatistik (forstl. Erzeugerbetriebe);JAHR;Jahr;2006;DINSG;Deutschland insgesamt;DG;Deutschland;ESLUR1;Einschlagsursache;WIND-STURM;Wind/Sturm;HAGR01;Holzartengruppen;HLZ-EICH-REIC;Eiche und Roteiche;WLDEG2;Waldeigentumsarten;WLD-STAAT;Staatswald (Bundes- und Landeswald);7,4
41261;Holzeinschlagsstatistik (forstl. Erzeugerbetriebe);JAHR;Jahr;2006;DINSG;Deutschland insgesamt;DG;Deutschland;ESLUR1;Einschlagsursache;WIND-STURM;Wind/Sturm;HAGR01;Holzartengruppen;HLZ-EICH-REIC;Eiche und Roteiche;WLDEG2;Waldeigentumsarten;WLD-KRP;Körperschaftswald;5,5
41261;Holzeinschlagsstatistik (forstl. Erzeugerbetriebe);JAHR;Jahr;2006;DINSG;Deutschland insgesamt;DG;Deutschland;ESLUR1;Einschlagsursache;WIND-STURM;Wind/Sturm;HAGR01;Holzartengruppen;HLZ-EICH-REIC;Eiche und Roteiche;WLDEG2;Waldeigentumsarten;WLD-PRIVAT;Privatwald;2,8
41261;Holzeinschlagsstatistik (forstl. Erzeugerbetriebe);JAHR;Jahr;2006;DINSG;Deutschland insgesamt;DG;Deutschland;ESLUR1;Einschlagsursache;WIND-STURM;Wind/Sturm;HAGR01;Holzartengruppen;HLZ-EICH-REIC;Eiche und Roteiche;WLDEG2;Waldeigentumsarten;;Insgesamt;15,6
41261;Holzeinschlagsstatistik (forstl. Erzeugerbetriebe);JAHR;Jahr;2006;DINSG;Deutschland insgesamt;DG;Deutschland;ESLUR1;Einschlagsursache;WIND-STURM;Wind/Sturm;HAGR01;Holzartengruppen;HLZ-BUCH-LAUB;Buche und sonstiges Laubholz;WLDEG2;Waldeigentumsarten;WLD-STAAT;Staatswald (Bundes- und Landeswald);64,7
41261;Holzeinschlagsstatistik (forstl. Erzeugerbetriebe);JAHR;Jahr;2006;DINSG;Deutschland insgesamt;DG;Deutschland;ESLUR1;Einschlagsursache;WIND-STURM;Wind/Sturm;HAGR01;Holzartengruppen;HLZ-BUCH-LAUB;Buche und sonstiges Laubholz;WLDEG2;Waldeigentumsarten;WLD-KRP;Körperschaftswald;31,8
41261;Holzeinschlagsstatistik (forstl. Erzeugerbetriebe);JAHR;Jahr;2006;DINSG;Deutschland insgesamt;DG;Deutschland;ESLUR1;Einschlagsursache;WIND-STURM;Wind/Sturm;HAGR01;Holzartengruppen;HLZ-BUCH-LAUB;Buche und sonstiges Laubholz;WLDEG2;Waldeigentumsarten;WLD-PRIVAT;Privatwald;20,5
41261;Holzeinschlagsstatistik (forstl. Erzeugerbetriebe);JAHR;Jahr;2006;DINSG;Deutschland insgesamt;DG;Deutschland;ESLUR1;Einschlagsursache;WIND-STURM;Wind/Sturm;HAGR01;Holzartengruppen;HLZ-BUCH-LAUB;Buche und sonstiges Laubholz;WLDEG2;Waldeigentumsarten;;Insgesamt;116,9
41261;Holzeinschlagsstatistik (forstl. Erzeugerbetriebe);JAHR;Jahr;2006;DINSG;Deutschland insgesamt;DG;Deutschland;ESLUR1;Einschlagsursache;WIND-STURM;Wind/Sturm;HAGR01;Holzartengruppen;HLZ-KIEF-LAER;Kiefer und Lärche;WLDEG2;Waldeigentumsarten;WLD-STAAT;Staatswald (Bundes- und Landeswald);50,1
41261;Holzeinschlagsstatistik (forstl. Erzeugerbetriebe);JAHR;Jahr;2006;DINSG;Deutschland insgesamt;DG;Deutschland;ESLUR1;Einschlagsursache;WIND-STURM;Wind/Sturm;HAGR01;Holzartengruppen;HLZ-KIEF-LAER;Kiefer und Lärche;WLDEG2;Waldeigentumsarten;WLD-KRP;Körperschaftswald;9,6
41261;Holzeinschlagsstatistik (forstl. Erzeugerbetriebe);JAHR;Jahr;2006;DINSG;Deutschland insgesamt;DG;Deutschland;ESLUR1;Einschlagsursache;WIND-STURM;Wind/Sturm;HAGR01;Holzartengruppen;HLZ-KIEF-LAER;Kiefer und Lärche;WLDEG2;Waldeigentumsarten;WLD-PRIVAT;Privatwald;40,8
41261;Holzeinschlagsstatistik (forstl. Erzeugerbetriebe);JAHR;Jahr;2006;DINSG;Deutschland insgesamt;DG;Deutschland;ESLUR1;Einschlagsursache;WIND-STURM;Wind/Sturm;HAGR01;Holzartengruppen;HLZ-KIEF-LAER;Kiefer und Lärche;WLDEG2;Waldeigentumsarten;;Insgesamt;100,6
41261;Holzeinschlagsstatistik (forstl. Erzeugerbetriebe);JAHR;Jahr;2006;DINSG;Deutschland insgesamt;DG;Deutschland;ESLUR1;Einschlagsursache;WIND-STURM;Wind/Sturm;HAGR01;Holzartengruppen;HLZ-FICH-UA;Fichte, Tanne, Douglasie und sonstiges Nadelholz;WLDEG2;Waldeigentumsarten;WLD-STAAT;Staatswald (Bundes- und Landeswald);838,3
41261;Holzeinschlagsstatistik (forstl. Erzeugerbetriebe);JAHR;Jahr;2006;DINSG;Deutschland insgesamt;DG;Deutschland;ESLUR1;Einschlagsursache;WIND-STURM;Wind/Sturm;HAGR01;Holzartengruppen;HLZ-FICH-UA;Fichte, Tanne, Douglasie und sonstiges Nadelholz;WLDEG2;Waldeigentumsarten;WLD-KRP;Körperschaftswald;224,6
41261;Holzeinschlagsstatistik (forstl. Erzeugerbetriebe);JAHR;Jahr;2006;DINSG;Deutschland insgesamt;DG;Deutschland;ESLUR1;Einschlagsursache;WIND-STURM;Wind/Sturm;HAGR01;Holzartengruppen;HLZ-FICH-UA;Fichte, Tanne, Douglasie und sonstiges Nadelholz;WLDEG2;Waldeigentumsarten;WLD-PRIVAT;Privatwald;233,4
